date,location,avg_price_per_sqft,demand_index,interest_rate
2018-01-01,Sydney,132.12,1.33,6.23
2018-01-02,Toronto,594.27,0.97,1.03
2018-01-03,Sydney,289.86,1.32,9.99
2018-01-04,Dubai,157.72,1.24,2.42
2018-01-05,Dubai,704.76,1.29,1.85
2018-01-06,Berlin,850.12,1.18,3.6
2018-01-07,Lagos,180.4,0.75,7.99
2018-01-08,Dubai,98.19,0.63,6.48
2018-01-09,Berlin,919.83,0.62,1.24
2018-01-10,Toronto,233.65,1.34,3.56
2018-01-11,Toronto,428.52,0.67,1.95
2018-01-12,Lagos,194.62,1.19,7.78
2018-01-13,Toronto,90.97,0.94,5.58
2018-01-14,London,408.29,1.18,4.69
2018-01-15,Sydney,646.76,0.53,2.98
2018-01-16,Sydney,531.0,0.94,2.75
2018-01-17,London,83.54,0.9,9.59
2018-01-18,Berlin,193.49,1.47,9.29
2018-01-19,New York,670.05,1.31,7.32
2018-01-20,London,785.64,0.79,5.94
2018-01-21,Dubai,692.32,0.73,2.67
2018-01-22,Sydney,720.46,0.51,1.91
2018-01-23,Sydney,79.72,0.54,4.22
2018-01-24,Dubai,115.95,0.87,3.03
2018-01-25,Toronto,360.8,0.69,4.47
2018-01-26,Berlin,828.42,0.56,2.05
2018-01-27,Berlin,912.94,0.63,2.23
2018-01-28,Singapore,289.78,1.44,4.83
2018-01-29,Lagos,238.05,0.96,8.53
2018-01-30,Singapore,733.15,0.74,7.99
2018-01-31,Sydney,276.15,1.24,8.76
2018-02-01,New York,872.92,0.54,5.54
2018-02-02,Toronto,667.7,0.67,8.35
2018-02-03,New York,215.22,1.0,3.14
2018-02-04,Toronto,258.43,0.86,6.66
2018-02-05,New York,756.49,1.36,1.35
2018-02-06,Dubai,579.79,1.09,6.57
2018-02-07,Sydney,829.7,1.48,6.2
2018-02-08,New York,404.91,0.87,4.68
2018-02-09,Sydney,496.31,1.22,1.55
2018-02-10,Singapore,851.91,1.02,1.87
2018-02-11,Singapore,727.96,0.62,1.22
2018-02-12,Berlin,427.02,0.52,2.14
2018-02-13,Toronto,239.88,1.12,9.24
2018-02-14,Berlin,980.1,0.59,2.29
2018-02-15,London,483.88,1.19,1.66
2018-02-16,New York,165.42,1.07,9.3
2018-02-17,Berlin,301.65,1.18,6.57
2018-02-18,Dubai,357.8,0.79,1.82
2018-02-19,London,907.84,1.4,3.87
2018-02-20,Lagos,506.7,1.0,5.85
2018-02-21,Sydney,342.24,1.43,3.67
2018-02-22,Sydney,406.99,0.74,8.37
2018-02-23,London,227.79,1.46,6.47
2018-02-24,London,150.12,0.98,3.83
2018-02-25,Singapore,745.27,1.24,3.2
2018-02-26,Toronto,503.12,1.46,4.44
2018-02-27,Singapore,115.67,1.47,2.23
2018-02-28,New York,986.12,1.03,2.88
2018-03-01,Sydney,495.32,1.12,1.05
2018-03-02,New York,910.02,1.48,3.72
2018-03-03,Berlin,257.3,1.12,3.03
2018-03-04,Toronto,221.57,0.79,5.86
2018-03-05,New York,537.75,0.65,5.27
2018-03-06,Sydney,681.4,1.03,2.13
2018-03-07,Toronto,681.31,0.93,6.03
2018-03-08,Dubai,255.97,0.64,4.69
2018-03-09,Singapore,855.54,0.5,2.2
2018-03-10,London,514.57,0.9,1.4
2018-03-11,Sydney,791.91,0.56,5.89
2018-03-12,Sydney,380.91,0.59,1.2
2018-03-13,Berlin,220.25,1.49,4.03
2018-03-14,London,70.12,1.16,1.88
2018-03-15,Lagos,553.43,1.39,8.92
2018-03-16,Dubai,259.6,1.39,3.07
2018-03-17,New York,980.91,0.68,9.08
2018-03-18,Sydney,588.7,0.69,8.45
2018-03-19,Lagos,772.28,1.01,8.43
2018-03-20,Sydney,706.86,0.65,8.75
2018-03-21,New York,325.73,1.45,9.17
2018-03-22,Sydney,831.84,1.02,3.44
2018-03-23,Dubai,557.18,0.64,9.6
2018-03-24,New York,957.41,0.88,4.04
2018-03-25,Singapore,365.2,1.3,5.02
2018-03-26,New York,191.91,1.25,9.32
2018-03-27,Sydney,992.43,1.05,2.76
2018-03-28,Toronto,974.12,0.68,6.88
2018-03-29,London,660.52,0.98,7.83
2018-03-30,Berlin,637.85,1.27,7.58
2018-03-31,Dubai,574.92,1.01,5.43
2018-04-01,London,347.92,0.71,6.73
2018-04-02,London,108.5,0.52,2.52
2018-04-03,Singapore,92.4,0.53,8.34
2018-04-04,Berlin,841.82,0.84,8.13
2018-04-05,Toronto,171.13,1.26,1.92
2018-04-06,Lagos,616.67,1.17,1.12
2018-04-07,New York,955.56,1.21,5.9
2018-04-08,Singapore,577.88,0.88,1.13
2018-04-09,Sydney,821.2,1.13,8.68
2018-04-10,Berlin,256.97,0.86,5.31
2018-04-11,Dubai,777.19,1.23,3.36
2018-04-12,Lagos,504.82,1.06,8.55
2018-04-13,Dubai,504.93,0.97,6.69
2018-04-14,Sydney,449.38,0.96,6.17
2018-04-15,London,111.98,0.76,9.0
2018-04-16,Sydney,293.92,0.9,9.09
2018-04-17,Singapore,980.06,0.6,8.94
2018-04-18,Berlin,800.03,1.05,9.13
2018-04-19,New York,775.3,1.34,1.82
2018-04-20,Dubai,813.36,1.11,7.64
2018-04-21,Berlin,961.01,0.83,3.07
