transaction_id,property_id,customer_id,transaction_type,transaction_date,amount,payment_method
TRX000001,PROP001021,CUST000862,Sale,2022-07-05,841029.61,Cash
TRX000002,PROP001473,CUST002299,Rent,2020-11-22,983860.65,Transfer
TRX000003,PROP001975,CUST001690,Rent,2022-05-19,455946.96,Cash
TRX000004,PROP000965,CUST002046,Rent,2022-08-25,1205928.1,Transfer
TRX000005,PROP000739,CUST001435,Rent,2023-08-22,1562020.77,Cash
TRX000006,PROP000780,CUST000527,Sale,2019-10-19,1922247.56,Cash
TRX000007,PROP000544,CUST000895,Sale,2022-10-17,1421054.15,Transfer
TRX000008,PROP001956,CUST001959,Rent,2019-03-28,1101725.6,Mortgage
TRX000009,PROP001175,CUST000015,Sale,2019-07-20,107099.92,Transfer
TRX000010,PROP002638,CUST002175,Rent,2019-03-27,1744417.88,Cash
TRX000011,PROP000385,CUST001691,Rent,2023-08-09,788312.64,Cash
TRX000012,PROP001030,CUST001290,Rent,2020-11-05,1861714.68,Cash
TRX000013,PROP001448,CUST001579,Sale,2023-11-18,1103094.31,Mortgage
TRX000014,PROP002290,CUST001458,Rent,2019-01-17,1521520.73,Cash
TRX000015,PROP000374,CUST001305,Rent,2020-11-12,715891.26,Transfer
TRX000016,PROP001382,CUST000663,Rent,2021-08-14,1106679.33,Mortgage
TRX000017,PROP001178,CUST001610,Rent,2021-01-29,1077532.82,Mortgage
TRX000018,PROP000172,CUST000243,Sale,2020-01-25,1951705.14,Transfer
TRX000019,PROP001551,CUST002056,Sale,2021-08-16,572299.68,Transfer
TRX000020,PROP001597,CUST002427,Rent,2018-11-11,1372593.97,Cash
TRX000021,PROP002289,CUST001951,Rent,2021-05-25,528080.45,Cash
TRX000022,PROP000577,CUST002870,Rent,2021-05-29,1945429.65,Cash
TRX000023,PROP002900,CUST002633,Sale,2023-03-25,1499866.79,Mortgage
TRX000024,PROP002591,CUST002772,Rent,2018-10-01,1914826.56,Mortgage
TRX000025,PROP002757,CUST001521,Sale,2018-07-16,1556281.6,Cash
TRX000026,PROP002280,CUST002454,Rent,2021-03-06,625829.56,Cash
TRX000027,PROP002546,CUST002739,Rent,2023-03-16,1847856.75,Cash
TRX000028,PROP001733,CUST000301,Rent,2022-08-29,1736888.05,Cash
TRX000029,PROP002646,CUST002405,Rent,2024-07-28,374555.53,Mortgage
TRX000030,PROP002228,CUST000937,Sale,2019-11-19,1379554.79,Transfer
TRX000031,PROP001288,CUST001222,Sale,2018-11-17,117970.21,Mortgage
TRX000032,PROP002270,CUST002260,Rent,2019-06-09,1585750.65,Cash
TRX000033,PROP001842,CUST002684,Sale,2020-04-26,770876.17,Transfer
TRX000034,PROP002988,CUST000639,Rent,2019-08-15,324361.36,Transfer
TRX000035,PROP000083,CUST002012,Rent,2019-09-10,1485566.47,Mortgage
TRX000036,PROP000283,CUST002677,Sale,2021-04-06,405499.59,Cash
TRX000037,PROP000930,CUST001480,Sale,2024-01-11,1274937.56,Mortgage
TRX000038,PROP002806,CUST001635,Sale,2023-03-21,1303545.78,Cash
TRX000039,PROP002165,CUST002993,Sale,2020-10-10,1341748.14,Mortgage
TRX000040,PROP001151,CUST002593,Rent,2024-01-31,1777802.43,Cash
TRX000041,PROP001113,CUST000548,Rent,2022-08-16,1477242.09,Transfer
TRX000042,PROP000654,CUST002574,Sale,2023-12-06,1627026.11,Mortgage
TRX000043,PROP001339,CUST000343,Rent,2022-03-21,888362.32,Cash
TRX000044,PROP002641,CUST001459,Rent,2020-08-09,1647300.43,Mortgage
TRX000045,PROP000511,CUST000260,Rent,2023-07-18,1769045.02,Cash
TRX000046,PROP001372,CUST001660,Sale,2023-12-03,1668981.94,Mortgage
TRX000047,PROP001907,CUST002196,Rent,2022-06-22,59947.17,Cash
TRX000048,PROP000436,CUST000726,Rent,2020-05-09,428715.27,Cash
TRX000049,PROP000064,CUST002250,Sale,2020-01-15,632793.49,Cash
TRX000050,PROP001477,CUST000158,Sale,2022-05-28,361359.54,Mortgage
TRX000051,PROP002472,CUST000222,Sale,2019-06-29,696953.77,Mortgage
TRX000052,PROP001297,CUST000807,Rent,2020-10-05,456797.12,Transfer
TRX000053,PROP001491,CUST001332,Rent,2019-04-10,84310.18,Transfer
TRX000054,PROP001877,CUST002645,Sale,2020-03-01,759472.8,Transfer
TRX000055,PROP001364,CUST001729,Sale,2023-11-06,465097.28,Cash
TRX000056,PROP000590,CUST001424,Sale,2024-07-31,222342.44,Cash
TRX000057,PROP002797,CUST000033,Rent,2023-03-17,864238.6,Transfer
TRX000058,PROP002661,CUST000033,Sale,2019-10-01,567930.52,Transfer
TRX000059,PROP000075,CUST000015,Rent,2021-01-30,1255511.3,Mortgage
TRX000060,PROP002606,CUST000616,Rent,2022-06-11,1614543.63,Transfer
TRX000061,PROP002657,CUST002080,Sale,2021-02-23,1412146.3,Cash
TRX000062,PROP001113,CUST001956,Rent,2018-07-03,241085.39,Cash
TRX000063,PROP002773,CUST001194,Sale,2022-08-15,733122.64,Mortgage
TRX000064,PROP002646,CUST000275,Sale,2018-01-18,863856.03,Transfer
TRX000065,PROP000227,CUST001356,Rent,2020-06-11,1015018.07,Mortgage
TRX000066,PROP001924,CUST000868,Sale,2019-12-05,105033.87,Mortgage
TRX000067,PROP000044,CUST001761,Rent,2019-03-05,202022.94,Transfer
TRX000068,PROP000833,CUST002327,Sale,2022-12-10,1098449.2,Cash
TRX000069,PROP000798,CUST000792,Rent,2021-08-28,1104125.11,Cash
TRX000070,PROP000566,CUST000688,Rent,2020-06-16,401647.59,Transfer
TRX000071,PROP001802,CUST002369,Sale,2020-03-04,1754948.9,Transfer
TRX000072,PROP000958,CUST002825,Rent,2022-05-19,1383144.4,Transfer
TRX000073,PROP002570,CUST001239,Sale,2020-01-20,1813249.1,Cash
TRX000074,PROP002704,CUST001011,Rent,2022-06-02,721603.0,Mortgage
TRX000075,PROP000163,CUST000612,Rent,2024-06-22,779871.51,Transfer
